"","Effect","F","v1","v2","ncp","Rsq","upper.CL","lower.CL"
"1","poly(pca1_clima, 2)1",0.118876080827745,1,173,0.118876080827745,0.000686673131890268,0.0318747952594035,6.41173715286615e-06
"2","poly(pca1_clima, 2)2",0.915926326620468,1,173,0.915926326620468,0.00526648907875363,0.0477885453510111,1.4223770625538e-05
"3","poly(Prec_Varieb, 2)1",17.4295220982466,1,173,17.4295220982466,0.0915274160550292,0.184228418245896,0.0273202710073326
"4","poly(Prec_Varieb, 2)2",1.75401059417375,1,173,1.75401059417375,0.0100370262645762,0.0598963866223448,3.28344298055999e-05
"5","poly(Corg_percent, 2)1",0.964889439111042,1,173,0.964889439111042,0.00554646079575017,0.0485794423430555,1.49369506119286e-05
"6","poly(Corg_percent, 2)2",0.152560628385572,1,173,0.152560628385572,0.000881076363132695,0.0327222996976114,6.63137941353048e-06
"7","poly(pH, 2)2",0.0835012917289257,1,173,0.0835012917289257,0.000482433571690845,0.030960900917627,6.18889764040169e-06
"8","poly(pH, 2)1",1.30160881168868e-06,1,173,1.30160881168868e-06,7.52375029997513e-09,0.0287036807097959,5.69312158373114e-06
"9","poly(cover_litter, 2)1",0.532591981686347,1,173,0.532591981686347,0.0030691178850285,0.041013310061455,9.69662710944317e-06
"10","poly(cover_litter, 2)2",8.16535315137463,1,173,8.16535315137463,0.0450712733386277,0.121462356312805,0.0046404006850157
"11","grazing_intencity",3.12226783718745,1,173,3.12226783718745,0.0177278425694232,0.075994203338428,0.0001271704015236
"12","mowing1",0.00818314662798409,1,173,0.00818314662798409,4.72991882762488e-05,0.0289311131614599,5.73989256685417e-06
"13","Model",12.7378188005281,12,173,152.853825606337,0.469087098553814,0.575988651678334,0.393280625075915
