"","Chisq","Df","Pr(>Chisq)"
"poly(pca1_clima, 2)",1.40612538217867,2,0.495066743034659
"poly(Corg_percent, 2)",2.19412196644841,2,0.333850836446884
"poly(pH, 2)",15.5341256161126,2,0.000423455211236588
"poly(cover_litter, 2)",6.78652080415767,2,0.0335989520301305
"grazing_intencity",1.23554743252678,1,0.266330900881976
"mowing",0.0566874700781337,1,0.811810277545033
