"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",3.743392996615,0.147163655378803,25.4369394873987,9.84722506820105e-143
"poly(pca1_clima, 2)1",0.522491512898273,0.927148113723668,0.563546972877732,0.573062483642245
"poly(pca1_clima, 2)2",-1.68511343688252,0.738891815060147,-2.2805956197327,0.0225723867429253
"poly(Corg_percent, 2)1",1.02251686126868,0.479037026173705,2.13452573684336,0.0327997691910459
"poly(Corg_percent, 2)2",-1.47586415564764,0.35460628512941,-4.16197968715935,3.15500421675212e-05
"poly(pH, 2)1",1.30282505606173,0.738502815596166,1.76414365463184,0.0777077962886722
"poly(pH, 2)2",-0.965439431422887,0.494584866873849,-1.95201975653884,0.050935859057851
"poly(cover_litter, 2)1",0.864137953453597,0.426890680542534,2.0242605257987,0.0429433528992083
"poly(cover_litter, 2)2",-1.62673860060563,0.379033556261045,-4.29180628927028,1.77225526812801e-05
"grazing_intencity",0.0125877365230425,0.0310863979376855,0.404927471760331,0.685530824298724
"mowing1",-0.129120958740502,0.126718679534616,-1.01895757764135,0.308223106878175
