"","Effect","F","v1","v2","ncp","Rsq","upper.CL","lower.CL"
"1","poly(pca1_clima, 2)1",0.000605176906133144,1,173,0.000605176906133144,3.49812016850638e-06,0.0287205129121843,5.69656053753647e-06
"2","poly(pca1_clima, 2)2",6.88444166469935,1,173,6.88444166469935,0.0382714680657697,0.11111511561056,0.0026033290822185
"3","poly(Corg_percent, 2)1",1.01857309528544,1,173,1.01857309528544,0.00585324357721124,0.0494311849828304,1.57599756339633e-05
"4","poly(Corg_percent, 2)2",8.74596293636975,1,173,8.74596293636975,0.0481219103580956,0.125969916397932,0.00570946081373324
"5","poly(pH, 2)2",0.437316707652996,1,173,0.437316707652996,0.0025214683665231,0.0391205656651732,8.81564974722938e-06
"6","poly(pH, 2)1",0.433379536380789,1,173,0.433379536380789,0.0024988242605852,0.0390400698516903,8.78101724276487e-06
"7","poly(cover_litter, 2)1",1.22884854334799,1,173,1.22884854334799,0.00705307159877288,0.052630553653105,1.94433382657239e-05
"8","poly(cover_litter, 2)2",11.1163339854535,1,173,11.1163339854535,0.0603766854619852,0.143399144489622,0.0107456836470239
"9","grazing_intencity",0.00964622039721943,1,173,0.00964622039721943,5.57553905689807e-05,0.0289716399628155,5.74829652618291e-06
"10","mowing1",0.989120140306143,1,173,0.989120140306143,0.0056849539759067,0.0489658194136007,1.53029809938851e-05
"11","Model",2.91986906839155,10,173,29.1986906839155,0.144405933515959,0.282082896275719,0.0975101852870333
