"","Effect","F","v1","v2","ncp","Rsq","upper.CL","lower.CL"
"1","poly(pca1_clima, 2)1",1.03605369899007,1,173,1.03605369899007,0.0059530980907095,0.0497052254668333,1.60376217822488e-05
"2","poly(pca1_clima, 2)2",0.215667594598288,1,173,0.215667594598288,0.00124508133469223,0.0342531001804183,7.06331687190181e-06
"3","poly(Prec_Varieb, 2)1",18.1595633509671,1,173,18.1595633509671,0.0949968865414613,0.18854766044893,0.0294190202064232
"4","poly(Prec_Varieb, 2)2",3.14949981629613,1,173,3.14949981629613,0.0178796977543547,0.0762871913142082,0.000130599521322416
"5","poly(Corg_percent, 2)1",2.41158593784937,1,173,2.41158593784937,0.0137481565140391,0.0680162166870532,6.31368373970132e-05
"6","poly(Corg_percent, 2)2",11.0831694640301,1,173,11.0831694640301,0.060207402427389,0.143164860826431,0.0106691246146336
"7","poly(pH, 2)2",3.77392758275692,1,173,3.77392758275692,0.0213488925338843,0.0827951730526255,0.000238589539974422
"8","poly(pH, 2)1",4.30658598847742,1,173,4.30658598847742,0.0242889228534201,0.0880720097223325,0.000392133012689175
"9","poly(cover_litter, 2)1",4.72674718527989,1,173,4.72674718527989,0.0265955871028926,0.0920852232672899,0.000570169106022769
"10","poly(cover_litter, 2)2",17.1709323974332,1,173,17.1709323974332,0.0902920976458597,0.182681223493421,0.0265834879129964
"11","grazing_intencity",0.033813559459828,1,173,0.033813559459828,0.000195415906083632,0.0296347832938978,5.8889079644379e-06
"12","mowing1",0.936753974630587,1,173,0.936753974630587,0.00538560110629187,0.0481266684880943,1.45228871967871e-05
"13","Model",15.6128091059244,12,173,187.353709271093,0.519916139201296,0.617532184603816,0.445985464285173
