"","Effect","F","v1","v2","ncp","Rsq","upper.CL","lower.CL"
"1","poly(pca1_clima, 2)1",1.03605368662263,1,173,1.03605368662263,0.00595309802006998,0.0497052252735087,1.60376215840984e-05
"2","poly(pca1_clima, 2)2",0.215667598546448,1,173,0.215667598546448,0.00124508135745717,0.0342531002739568,7.06331689978626e-06
"3","poly(Prec_Varieb, 2)1",18.1595633661917,1,173,18.1595633661917,0.094996886613539,0.188547660538271,0.0294190202504664
"4","poly(Prec_Varieb, 2)2",3.14949978350919,1,173,3.14949978350919,0.0178796975715513,0.0762871909619564,0.000130599517140322
"5","poly(Corg_percent, 2)1",2.41158593699944,1,173,2.41158593699944,0.0137481565092604,0.0680162166770797,6.31368373438237e-05
"6","poly(Corg_percent, 2)2",11.0831694514176,1,173,11.0831694514176,0.0602074023629988,0.143164860737286,0.0106691245855464
"7","poly(pH, 2)2",3.77392755399236,1,173,3.77392755399236,0.0213488923746387,0.0827951727613484,0.000238589533450401
"8","poly(pH, 2)1",4.30658599341259,1,173,4.30658599341259,0.0242889228805781,0.0880720097702012,0.00039213301445403
"9","poly(cover_litter, 2)1",4.7267472128481,1,173,4.7267472128481,0.0265955872538829,0.0920852235266962,0.000570169119662948
"10","poly(cover_litter, 2)2",17.1709324632492,1,173,17.1709324632492,0.0902920979606989,0.182681223888384,0.0265834881000603
"11","grazing_intencity",0.0338135629044292,1,173,0.0338135629044292,0.00019541592598684,0.0296347833875698,5.88890798472249e-06
"12","mowing1",0.936753970303315,1,173,0.936753970303315,0.00538560108154743,0.048126668418108,1.45228871339931e-05
"13","Model",15.612809124079,12,173,187.353709488948,0.519916139491535,0.617532184839716,0.445985464590521
