"","Effect","F","v1","v2","ncp","Rsq","upper.CL","lower.CL"
"1","poly(pca1_clima, 2)1",2.61802451025614,1,339,2.61802451025614,0.00766360180792376,0.0368071032384596,3.94717971302601e-05
"2","poly(pca1_clima, 2)2",0.281211836480255,1,339,0.281211836480255,0.000828845885565239,0.0184206995571668,3.84329564015762e-06
"3","poly(Prec_Varieb, 2)1",22.9946450908592,1,339,22.9946450908592,0.0635220586898119,0.120842103026369,0.023014036362522
"4","poly(Prec_Varieb, 2)2",22.9542828194532,1,339,22.9542828194532,0.0634176300958512,0.120708436482703,0.0229475718478157
"5","poly(Corg_percent, 2)1",10.9337011725766,1,339,10.9337011725766,0.0312450648106752,0.0768053507428257,0.00530848459856388
"6","poly(Corg_percent, 2)2",28.1511015668221,1,339,28.1511015668221,0.0766744303549326,0.137364880297671,0.0317158675528137
"7","poly(pH, 2)2",15.0506890834037,1,339,15.0506890834037,0.0425099838736881,0.0929265564247906,0.0107094062296438
"8","poly(pH, 2)1",5.58085554374298,1,339,5.58085554374298,0.0161960696711849,0.0529285839298894,0.000580545782406487
"9","poly(cover_litter, 2)1",1.55804579093726,1,339,1.55804579093726,0.00457497865692392,0.0297773170296149,1.37628424073401e-05
"10","poly(cover_litter, 2)2",31.8527386859118,1,339,31.8527386859118,0.0858905311007802,0.148621588726271,0.0381566379288081
"11","grazing_intencity",0.0683981997823472,1,339,0.0683981997823472,0.000201723900385568,0.0157007883938348,3.10661045230793e-06
"12","mowing1",0.576104635182518,1,339,0.576104635182518,0.00169654056136089,0.021607516671028,5.16113560909722e-06
"13","Model",30.5591969930734,12,339,366.710363916881,0.519632958033293,0.588087573059785,0.463443620206918
