"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",3.72922904965572,0.138431706768459,26.9391249787394,7.64952299663653e-160
"poly(pca1_clima, 2)1",-0.810087284362033,1.05800172249551,-0.765676715961561,0.443868684720684
"poly(pca1_clima, 2)2",-0.315903209665057,0.917276726750653,-0.344392483154029,0.730551141100317
"poly(Prec_Varieb, 2)1",3.69710301260162,1.57086287684339,2.35354916530388,0.0185951486182201
"poly(Prec_Varieb, 2)2",0.761120413464967,0.624876129813052,1.21803406651599,0.223211027340457
"poly(Corg_percent, 2)1",0.81770241295139,0.481803130132029,1.69717123408333,0.0896642918812094
"poly(Corg_percent, 2)2",-1.341147222607,0.357347623253903,-3.75306042445421,0.000174688725906735
"poly(pH, 2)1",1.29527851384601,0.722528161136528,1.79270315472348,0.0730204018287708
"poly(pH, 2)2",-0.967258037372609,0.483093814538421,-2.0022157358748,0.0452615340021493
"poly(cover_litter, 2)1",0.907904365266552,0.425258883567727,2.13494508956439,0.0327654956584008
"poly(cover_litter, 2)2",-1.64184219565714,0.375226921235467,-4.37559807876054,1.21099974555953e-05
"grazing_intencity",0.00677756741031733,0.0309917031676332,0.218689736851752,0.826891744290982
"mowing1",-0.145130906769085,0.125525119987422,-1.15619014571448,0.247603389655315
