"","Chisq","Df","Pr(>Chisq)"
"poly(pca1_clima, 2)",9.87453354853258,2,0.00717418025336019
"poly(pH, 2)",0.200696858792933,2,0.904522200999123
"poly(Corg_percent, 2)",2.55875825761634,2,0.278209979403445
"poly(cover_litter, 2)",9.75252449841699,2,0.00762546290706206
"grazing_intencity",2.85421709089982,1,0.0911345981794566
"mowing",0.00107783997900053,1,0.973809777103052
