"","Chisq","Df","Pr(>Chisq)"
"poly(pca1_clima, 2)",7.4102133622589,2,0.0245975931286456
"pH",0.186624222282693,1,0.665741226181724
"Corg_percent",0.0447456010315579,1,0.832472507724882
"poly(cover_litter, 2)",4.92048701028166,2,0.0854141496502707
"grazing_intencity",1.94401455917129,1,0.16323330173572
"mowing",0.139824135325522,1,0.708455908177078
