"","Effect","F","v1","v2","ncp","Rsq","upper.CL","lower.CL"
"1","poly(pca1_clima, 2)1",0.00539269398295968,1,173,0.00539269398295968,3.11706698790507e-05,0.0288536982447813,5.72389812247978e-06
"2","poly(pca1_clima, 2)2",3.16771106330971,1,173,3.16771106330971,0.0179812239382013,0.0764826615709699,0.000132942562662912
"3","poly(Prec_Varieb, 2)1",0.00469623493424884,1,173,0.00469623493424884,2.71451297938844e-05,0.0288343522966205,5.71991307918228e-06
"4","poly(Prec_Varieb, 2)2",0.307713119352516,1,173,0.307713119352516,0.00177553043551271,0.0363632086688554,7.74423918377412e-06
"5","poly(Corg_percent, 2)1",0.759905693372958,1,173,0.759905693372958,0.00437330861996399,0.0451680666384905,1.2170269418374e-05
"6","poly(Corg_percent, 2)2",7.88066545980498,1,173,7.88066545980498,0.0435683130630466,0.119212701525179,0.00414635007156316
"7","poly(pH, 2)2",0.287836609379309,1,173,0.287836609379309,0.00166103181279909,0.0359190758191684,7.59185156721176e-06
"8","poly(pH, 2)1",0.575758262994488,1,173,0.575758262994488,0.00331704305230299,0.0418385637296212,1.01242163761287e-05
"9","poly(cover_litter, 2)1",1.05303866384434,1,173,1.05303866384434,0.00605010215235663,0.0499699956916964,1.63120710558854e-05
"10","poly(cover_litter, 2)2",11.0222846345192,1,173,11.0222846345192,0.0598964666502767,0.142734104460806,0.0105289642231077
"11","grazing_intencity",0.047447872271225,1,173,0.047447872271225,0.000274189956885391,0.0300036595605235,5.96974741144698e-06
"12","mowing1",0.62108518225904,1,173,0.62108518225904,0.00357724513475454,0.0426855008709474,1.05934975910141e-05
"13","Model",2.45564594849262,12,173,29.4677513819114,0.145542937977944,0.290618215917621,0.105655814973689
