"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",3.14650224776931,0.285715679176486,11.0127041569382,3.31889973724127e-28
"poly(pca1_clima, 2)1",-1.07507453674378,1.49780347150586,-0.717767422225908,0.472900703578645
"poly(pca1_clima, 2)2",-0.881002134294804,1.35726186056217,-0.64910254969509,0.516272093934923
"poly(Prec_Varieb, 2)1",4.09621046244768,2.33984979533609,1.75062966461029,0.0800097220264355
"poly(Prec_Varieb, 2)2",1.66879286822392,0.896937301330972,1.86054573240246,0.0628083544891438
"poly(Corg_percent, 2)1",0.834514952968111,0.545193310594121,1.53067716854175,0.125849199206424
"poly(Corg_percent, 2)2",-1.43419114820694,0.435660122490748,-3.29199546657475,0.000994792152921851
"pH",0.0195738080767769,0.0344546519507251,0.568103491649549,0.569964697008886
"poly(cover_litter, 2)1",0.292213016777882,0.366395141747039,0.797535183967114,0.425140277386889
"poly(cover_litter, 2)2",-0.893073921231252,0.314297601279681,-2.8414913686743,0.00449030674510013
"grazing_intencity",0.00626411710582502,0.0319791715949855,0.195881156183773,0.844703186734424
"mowing1",-0.0558345308082609,0.132911209903157,-0.420088951480793,0.674420473599192
