"","Chisq","Df","Pr(>Chisq)"
"poly(pca1_clima, 2)",5.50446840987478,2,0.063785192698252
"poly(pH, 2)",1.14292321269242,2,0.564699466899247
"poly(Corg_percent, 2)",10.2092185470121,2,0.00606870965762441
"poly(cover_litter, 2)",11.2462361654658,2,0.00361335677998923
"grazing_intencity",0.00966127848534208,1,0.921700587131285
"mowing",0.973201171572044,1,0.323883111518523
