"","Effect","F","v1","v2","ncp","Rsq","upper.CL","lower.CL"
"1","poly(pca1_clima, 2)1",3.08089434288689,1,173,3.08089434288689,0.017497039382861,0.0755474556625431,0.000122127171886101
"2","poly(pca1_clima, 2)2",23.3879761648768,1,173,23.3879761648768,0.119090672563587,0.217606303404979,0.0450628608127241
"3","poly(Corg_percent, 2)1",2.57654609330127,1,173,2.57654609330127,0.014674773770365,0.0699305602456751,7.43389119750407e-05
"4","poly(Corg_percent, 2)2",0.472233328570725,1,173,0.472233328570725,0.00272224159169195,0.0398262601685728,9.12882116852052e-06
"5","poly(pH, 2)2",0.113916786514531,1,173,0.113916786514531,0.000658045226109775,0.0317481639435406,6.38001974646476e-06
"6","poly(pH, 2)1",0.0336023547875521,1,173,0.0336023547875521,0.000194195545433158,0.02962903936758,5.88766435253187e-06
"7","poly(cover_litter, 2)1",0.642738898846606,1,173,0.642738898846606,0.00370150173236455,0.043083407054329,1.08252933194002e-05
"8","poly(cover_litter, 2)2",8.1431798181064,1,173,8.1431798181064,0.0449543826396518,0.121288099250963,0.00460117042759631
"9","grazing_intencity",2.60403486165261,1,173,2.60403486165261,0.0148290149694121,0.0702455560502226,7.63871268823672e-05
"10","mowing1",0.00100805256028734,1,173,0.00100805256028734,5.82685945957657e-06,0.0287317384400598,5.69885599175899e-06
"11","Model",8.20417625738083,10,173,82.0417625738083,0.321679719218791,0.447637062207322,0.244949585731099
